feedback_id,sentiment,theme_primary,theme_secondary,need_type,scenario,user_type,severity,purchase_impact,jtbd,is_actionable,confidence,model_name,prompt_version
F0026,2,data_accuracy,hardware,real_need,indoor,competitive,S2,unknown,用户希望功率骑行台在冲刺高功率区间能准确读取功率以达成可靠训练监控,True,0.92,MiniMax-M3,classify_v1
F0027,1,hardware,connectivity,real_need,indoor,unknown,S2,unknown,用户希望智能骑行台在蓝牙连接后能正常输出功率并响应踩踏以完成室内训练,True,0.82,MiniMax-M3,classify_v1
F0028,2,hardware,compatibility;other,real_need,indoor,unknown,S2,influence,用户希望智能骑行台在所有踏频/功率组合下保持安静运行以避免打扰邻居并维持正常训练,True,0.82,MiniMax-M3,classify_v1
F0029,2,hardware,after_sales,real_need,indoor,unknown,S3,influence,用户希望骑行台在高速运转时无异常噪音以保证正常训练体验,True,0.82,MiniMax-M3,classify_v1
F0032,2,compatibility,connectivity,real_need,unknown,unknown,S3,unknown,用户希望第三方App与Strava之间的数据集成持续可用以保留历史训练记录,False,0.7,MiniMax-M3,classify_v1
F0033,2,hardware,firmware;display_ux;data_accuracy,real_need,unknown,unknown,S3,unknown,用户希望功率计校准过程不卡顿、触摸屏在雨天不被误触以保障数据可靠性,True,0.6,MiniMax-M3,classify_v1
F0034,2,display_ux,hardware,real_need,unknown,unknown,S4,unknown,用户希望在阳光直射下清晰阅读屏幕并能戴手套精确操作触摸屏,True,0.6,MiniMax-M3,classify_v1
F0035,2,feature_request,connectivity;data_accuracy,feature_request,unknown,unknown,S4,unknown,用户希望码表能显示第三方ANT+传感器的电量并保持蓝牙稳定连接以完整掌控骑行数据,True,0.6,MiniMax-M3,classify_v1
F0036,2,data_accuracy,navigation;feature_request,real_need,unknown,unknown,S3,unknown,用户希望功率读数在停止踩踏后及时归零以准确捕捉间歇训练强度,True,0.6,MiniMax-M3,classify_v1
F0037,2,firmware,data_accuracy,real_need,unknown,enthusiast,S3,unknown,用户希望固件更新能稳定解决已知缺陷而非引入新问题以维持长期可靠的骑行记录,True,0.6,MiniMax-M3,classify_v1
F0038,2,firmware,hardware,real_need,unknown,unknown,S2,blocker,用户希望码表在骑行活动中稳定运行不重启以可靠记录骑行数据,True,0.88,MiniMax-M3,classify_v1
F0040,2,connectivity,compatibility,real_need,training,enthusiast,S3,unknown,用户希望码表能自动上传训练数据至第三方平台以减少手动操作,True,0.82,MiniMax-M3,classify_v1
F0041,1,other,data_accuracy;after_sales,real_need,unknown,unknown,S2,unknown,用户希望正常停止骑行并查看保留的骑行数据以复盘训练记录,True,0.6,MiniMax-M3,classify_v1
F0042,3,other,,unknown,unknown,unknown,S5,unknown,用户希望[unknown]以达成[unknown],False,0.1,MiniMax-M3,classify_v1
F0043,2,feature_request,display_ux,feature_request,unknown,unknown,S5,influence,用户希望锁屏状态下仍能查看实时活动数据以替代购买码表的需求,True,0.6,MiniMax-M3,classify_v1
F0044,1,connectivity,feature_request;data_accuracy,real_need,unknown,unknown,S3,unknown,用户希望App能流畅上传照片、预览相册并稳定同步至苹果健康以无缝管理运动数据,True,0.6,MiniMax-M3,classify_v1
F0045,4,feature_request,compatibility,feature_request,unknown,unknown,S5,unknown,用户希望App能独立支持赛段打卡功能以吸引无硬件用户并活跃软件生态,True,0.6,MiniMax-M3,classify_v1
F0046,2,after_sales,other,real_need,unknown,unknown,S4,unknown,用户希望能够联系到人工客服以解决产品使用中遇到的问题,True,0.6,MiniMax-M3,classify_v1
F0047,1,data_accuracy,other,emotional_complaint,unknown,unknown,S2,unknown,用户希望保存的运动数据能稳定保留以避免训练记录丢失,False,0.6,MiniMax-M3,classify_v1
F0048,2,connectivity,data_accuracy;feature_request,real_need,unknown,unknown,S4,unknown,用户希望App能正确同步Strava数据以达成无缝的数据迁移,True,0.55,MiniMax-M3,classify_v1
F0049,1,connectivity,compatibility,real_need,unknown,unknown,S3,blocker,用户希望将运动数据同步至Apple健康/健身记录以统一管理多平台训练数据,True,0.6,MiniMax-M3,classify_v1
F0050,2,connectivity,,real_need,unknown,unknown,S2,unknown,用户希望成功登录OnelapFit以使用App全部功能,True,0.6,MiniMax-M3,classify_v1
F0051,5,other,,unknown,unknown,unknown,S5,no_impact,用户希望[unknown]以达成[unknown],False,0.6,MiniMax-M3,classify_v1
F0052,2,connectivity,hardware,real_need,unknown,unknown,S2,unknown,用户希望App能稳定连接自家码表和心率带以完成骑行数据记录,True,0.6,MiniMax-M3,classify_v1
F0053,2,compatibility,feature_request,feature_request,unknown,unknown,S4,influence,用户希望OnelapFit能同步数据至苹果HealthKit以集中管理健康数据,True,0.6,MiniMax-M3,classify_v1
F0054,2,connectivity,compatibility,real_need,unknown,unknown,S3,unknown,用户希望App能正常将骑行记录同步至Strava以管理运动数据,True,0.6,MiniMax-M3,classify_v1
F0055,2,feature_request,connectivity;display_ux,feature_request,unknown,unknown,S4,unknown,用户希望App首页聚焦数据展示并修复苹果健康同步以提升核心使用价值,True,0.6,MiniMax-M3,classify_v1
F0056,3,other,,unknown,unknown,unknown,S5,unknown,用户希望[unknown]以达成[unknown],False,0.1,MiniMax-M3,classify_v1
F0057,3,feature_request,compatibility,feature_request,unknown,unknown,S5,unknown,用户希望骑行数据自动同步至苹果健康以统一管理个人健康数据,True,0.6,MiniMax-M3,classify_v1
F0058,1,price_value,feature_request;after_sales,emotional_complaint,indoor,unknown,S4,influence,用户希望无需开通会员即可使用骑行台以自由进行室内训练,True,0.6,MiniMax-M3,classify_v1
F0059,1,feature_request,compatibility;connectivity,feature_request,unknown,unknown,S4,influence,用户希望APP具备轨迹合并、社交互动、详细数据查看等更完善的骑行记录和社区功能以匹配竞品,True,0.6,MiniMax-M3,classify_v1
F0060,1,connectivity,hardware;display_ux,real_need,indoor,unknown,S3,unknown,用户希望稳定连接骑行台并顺畅传输数据以完成室内骑行训练,True,0.6,MiniMax-M3,classify_v1
F0061,3,compatibility,connectivity,unknown,unknown,unknown,S5,unknown,用户希望了解OnelapFit与Strava集成停止的原因以继续使用数据同步,False,0.45,MiniMax-M3,classify_v1
F0062,1,compatibility,connectivity;after_sales,real_need,unknown,unknown,S3,influence,用户希望App能稳定同步Strava数据并查看好友骑行数据以延续原有社交训练体验,True,0.6,MiniMax-M3,classify_v1
F0063,2,connectivity,compatibility,real_need,unknown,unknown,S2,unknown,用户希望能够在App内成功上传骑行记录至Strava以达成数据同步与社交分享目标,True,0.55,MiniMax-M3,classify_v1
F0064,3,feature_request,,feature_request,unknown,unknown,S5,unknown,用户希望获得相关说明以了解产品功能或操作方法,True,0.55,MiniMax-M3,classify_v1
F0065,2,other,firmware,emotional_complaint,unknown,unknown,S4,unknown,用户希望能够自主选择是否更新及是否进行实名以避免强制要求,False,0.6,MiniMax-M3,classify_v1
F0066,2,feature_request,after_sales;connectivity,feature_request,unknown,unknown,S4,unknown,用户希望App能跳过非必要升级和强制实名认证以保护隐私并直接进入骑行,True,0.6,MiniMax-M3,classify_v1
F0067,2,connectivity,,unknown,unknown,unknown,S3,unknown,用户希望App与Strava的同步服务能够正常使用以保持训练数据互通,False,0.55,MiniMax-M3,classify_v1
F0068,1,connectivity,data_accuracy,real_need,unknown,unknown,S3,influence,用户希望骑行数据能成功同步至Strava以整合训练记录,True,0.6,MiniMax-M3,classify_v1
F0069,1,compatibility,data_accuracy;feature_request,real_need,unknown,unknown,S3,blocker,用户希望码表能将骑行数据同步至苹果健康以统一管理运动数据,True,0.6,MiniMax-M3,classify_v1
F0070,1,other,,emotional_complaint,unknown,unknown,S5,unknown,用户希望[未明确表达]以达成[未明确表达],False,0.6,MiniMax-M3,classify_v1
F0071,2,other,connectivity;data_accuracy,real_need,unknown,unknown,S2,unknown,用户希望App稳定运行且运动数据能可靠保存以达成持续记录训练的目的,True,0.6,MiniMax-M3,classify_v1
F0072,2,connectivity,compatibility,unknown,unknown,unknown,S4,unknown,用户希望将骑行活动数据上传至Strava以达成跨平台同步记录的目标,True,0.55,MiniMax-M3,classify_v1
F0073,2,firmware,feature_request,operation_misunderstanding,unknown,unknown,S4,unknown,用户希望自行决定是否更新应用以避免强制升级带来的不便,True,0.6,MiniMax-M3,classify_v1
F0074,1,other,,emotional_complaint,unknown,unknown,S5,unknown,用户希望[未知]以达成[未知],False,0.6,MiniMax-M3,classify_v1
F0075,1,connectivity,compatibility,real_need,unknown,unknown,S3,unknown,用户希望将骑行数据成功同步至Strava以管理运动记录,True,0.6,MiniMax-M3,classify_v1
F0076,3,feature_request,data_accuracy,feature_request,unknown,unknown,S5,unknown,用户希望OnelapFit在线路功能和路段计时大数据对比上得到加强以提升与Strava的竞争力,True,0.6,MiniMax-M3,classify_v1
F0077,2,feature_request,data_accuracy,feature_request,unknown,unknown,S5,unknown,用户希望合并更多条轨迹以满足多段骑行数据整合需求,True,0.6,MiniMax-M3,classify_v1
F0078,3,other,,unknown,unknown,unknown,S5,unknown,用户希望[unknown]以达成[unknown],False,0.1,MiniMax-M3,classify_v1
F0079,2,feature_request,compatibility,feature_request,unknown,unknown,S5,unknown,用户希望OnelapFit支持同步Apple健康以统一管理运动健康数据,True,0.6,MiniMax-M3,classify_v1
F0080,3,hardware,data_accuracy,operation_misunderstanding,indoor,unknown,S4,unknown,用户希望手部运动能被正确识别为非骑行场景以获得准确心率数据,True,0.6,MiniMax-M3,classify_v1
F0081,1,feature_request,compatibility;after_sales,feature_request,unknown,unknown,S5,influence,用户希望OnelapFit支持海外版码表以避免实名认证即可正常使用,True,0.6,MiniMax-M3,classify_v1
F0082,2,navigation,connectivity,real_need,unknown,unknown,S3,unknown,用户希望码表能快速完成GPS定位以准确记录骑行起止数据,True,0.6,MiniMax-M3,classify_v1
F0083,4,feature_request,,feature_request,unknown,unknown,S5,no_impact,用户希望通过图片分享功能以更便捷地记录和分享骑行体验,True,0.6,MiniMax-M3,classify_v1
F0084,2,compatibility,feature_request,feature_request,unknown,unknown,S5,unknown,用户希望OnelapFit提供鸿蒙系统版本以达成在其鸿蒙设备上使用App的目标,True,0.6,MiniMax-M3,classify_v1
F0085,4,other,,unknown,unknown,unknown,S5,unknown,用户希望保持对产品的喜爱以持续使用,False,0.6,MiniMax-M3,classify_v1
F0086,2,compatibility,feature_request,feature_request,unknown,unknown,S5,unknown,用户希望OnelapFit能与苹果健康共享运动数据以统一管理健康数据,True,0.6,MiniMax-M3,classify_v1
F0087,4,other,,emotional_complaint,unknown,unknown,S5,no_impact,用户希望[未知]以达成[未知],False,0.6,MiniMax-M3,classify_v1
F0088,3,feature_request,display_ux,feature_request,unknown,unknown,S5,unknown,用户希望在数据显示设置中至少有必显时间字段并支持其他数据可选显示以满足个性化查看需求,True,0.6,MiniMax-M3,classify_v1
F0089,2,connectivity,firmware;compatibility,real_need,unknown,unknown,S3,unknown,用户希望App升级后在当前iOS系统上能正常连接WiFi以完成数据上传等基础功能,True,0.6,MiniMax-M3,classify_v1
F0090,2,connectivity,firmware,real_need,unknown,unknown,S3,unknown,用户希望升级到最新版本后能稳定记录骑行数据以保留完整训练记录,True,0.6,MiniMax-M3,classify_v1
F0091,1,connectivity,data_accuracy;display_ux,real_need,unknown,unknown,S3,influence,用户希望手表数据能够自动同步至App以达成无需手动操作即可查看运动数据的目标,True,0.6,MiniMax-M3,classify_v1
F0092,2,firmware,hardware,real_need,unknown,unknown,S4,unknown,用户希望更新后手表续航保持稳定以避免频繁充电,True,0.6,MiniMax-M3,classify_v1
F0093,1,connectivity,display_ux;feature_request,real_need,unknown,unknown,S3,unknown,用户希望App与手表连接保持稳定以可靠访问训练数据,True,0.6,MiniMax-M3,classify_v1
F0094,4,other,,emotional_complaint,unknown,unknown,S5,unknown,用户希望获得良好的App使用体验,False,0.6,MiniMax-M3,classify_v1
F0095,3,feature_request,display_ux,feature_request,unknown,unknown,S5,unknown,用户希望增加可选小组件以达成个性化首页布局,True,0.6,MiniMax-M3,classify_v1
F0096,2,connectivity,firmware,real_need,unknown,unknown,S3,unknown,用户希望App与手表连接保持稳定以避免重复配对操作,True,0.6,MiniMax-M3,classify_v1
F0097,1,display_ux,connectivity;feature_request,real_need,unknown,casual,S3,influence,用户希望App稳定流畅以顺畅管理和查看手表设置与数据,True,0.6,MiniMax-M3,classify_v1
F0098,2,feature_request,other,feature_request,unknown,unknown,S5,unknown,用户希望批量编辑有氧运动记录以高效管理训练数据,True,0.6,MiniMax-M3,classify_v1
F0099,2,connectivity,compatibility,real_need,unknown,unknown,S3,unknown,用户希望App在新款手机上能正常连接以达成可靠的骑行数据同步,True,0.6,MiniMax-M3,classify_v1
F0100,5,other,,unknown,unknown,unknown,S5,no_impact,用户希望App能稳定运行以满足日常使用,False,0.6,MiniMax-M3,classify_v1
F0101,5,feature_request,,emotional_complaint,unknown,unknown,S5,no_impact,用户希望获得丰富的骑行/运动洞察以提升训练价值,False,0.6,MiniMax-M3,classify_v1
F0102,5,connectivity,,unknown,unknown,unknown,S5,no_impact,用户希望与Strava成功连接以实现数据同步,False,0.6,MiniMax-M3,classify_v1
F0103,2,compatibility,data_accuracy;feature_request,real_need,unknown,unknown,S4,unknown,用户希望过去骑行的自设强度评分在重新上传后仍被保留以便长期追踪训练负荷,True,0.6,MiniMax-M3,classify_v1
F0104,2,connectivity,compatibility,real_need,unknown,unknown,S2,unknown,用户希望App能够连接心率带以达成心率数据采集,True,0.6,MiniMax-M3,classify_v1
F0105,4,hardware,display_ux,real_need,training,casual,S5,no_impact,用户希望充电器能够稳定连接以确保设备持续可用,True,0.6,MiniMax-M3,classify_v1
F0106,2,connectivity,hardware,real_need,unknown,unknown,S3,unknown,用户希望App与手表保持稳定连接以达成无需反复手动重连的顺畅使用,True,0.6,MiniMax-M3,classify_v1
F0107,3,display_ux,feature_request,feature_request,unknown,unknown,S5,unknown,用户希望App界面重新设计以获得更专业的外观,True,0.6,MiniMax-M3,classify_v1
F0108,2,connectivity,firmware,real_need,unknown,unknown,S4,unknown,用户希望通过App设置使手表能正常接收手机短信和应用通知以保持消息及时触达,True,0.6,MiniMax-M3,classify_v1
F0109,4,other,,unknown,unknown,unknown,S5,unknown,用户希望产品能良好运行以满足基本使用需求,False,0.6,MiniMax-M3,classify_v1
F0110,2,firmware,hardware,real_need,unknown,unknown,S4,unknown,用户希望App更新后保持原有续航表现以维持日常使用,True,0.6,MiniMax-M3,classify_v1
F0111,1,price_value,feature_request;display_ux,feature_request,training,casual,S4,influence,用户希望在一次性购买后即可使用核心追踪和音乐功能以避免持续订阅成本,True,0.6,MiniMax-M3,classify_v1
F0112,1,display_ux,compatibility,emotional_complaint,unknown,unknown,S4,unknown,用户希望在同一应用内统一管理手表外观与功能以避免切换应用带来的体验割裂,False,0.6,MiniMax-M3,classify_v1
F0113,5,other,,emotional_complaint,unknown,unknown,S5,no_impact,用户希望获得功能完整且数据可靠的运动追踪以记录并查看每日训练进展,False,0.6,MiniMax-M3,classify_v1
F0114,2,connectivity,display_ux,real_need,training,unknown,S3,unknown,用户希望训练数据能可靠同步到手表并获得简洁易用的界面以高效管理训练,True,0.6,MiniMax-M3,classify_v1
F0115,4,other,,unknown,racing,competitive,S5,no_impact,用户希望通过App查看越野跑数据以辅助训练和比赛准备,False,0.6,MiniMax-M3,classify_v1
F0116,1,price_value,,emotional_complaint,unknown,unknown,S5,blocker,用户希望购买的产品能够物有所值以满足使用预期,False,0.6,MiniMax-M3,classify_v1
F0117,2,firmware,connectivity,real_need,unknown,unknown,S3,influence,用户希望App更新后在后台运行时不会过度消耗手机电量以维持正常使用,True,0.6,MiniMax-M3,classify_v1
F0118,1,display_ux,compatibility,emotional_complaint,unknown,unknown,S4,influence,用户希望获得稳定无缺陷的App界面以持续使用Garmin手表,False,0.6,MiniMax-M3,classify_v1
F0119,2,connectivity,,real_need,unknown,unknown,S3,unknown,用户希望手表与App连接保持稳定以避免每日多次重新配对,True,0.6,MiniMax-M3,classify_v1
F0120,5,other,compatibility;data_accuracy,unknown,unknown,unknown,S5,no_impact,用户希望以简单直观的方式连接并管理多种设备与训练数据,False,0.6,MiniMax-M3,classify_v1
F0121,5,data_accuracy,feature_request,unknown,unknown,unknown,S5,no_impact,用户希望查看统计数据以了解个人目标的进展,False,0.6,MiniMax-M3,classify_v1
F0122,2,other,compatibility,emotional_complaint,unknown,unknown,S5,unknown,用户希望App能够更井井有条以提升使用体验,False,0.6,MiniMax-M3,classify_v1
F0123,2,display_ux,feature_request;compatibility,feature_request,unknown,unknown,S4,influence,用户希望通过清晰的引导和便捷的课程创建功能以高效管理户外探险数据并替代其他导航App,True,0.6,MiniMax-M3,classify_v1
F0124,1,connectivity,compatibility,real_need,unknown,unknown,S3,blocker,用户希望在新手机上顺利配对手表以达成完整使用App管理设备数据,True,0.6,MiniMax-M3,classify_v1
F0125,2,display_ux,feature_request;hardware,feature_request,unknown,unknown,S4,unknown,用户希望App停止反复请求位置权限以保护隐私并减少打扰,True,0.6,MiniMax-M3,classify_v1
F0126,1,connectivity,,real_need,unknown,unknown,S3,unknown,用户希望App能正常连接设备以记录和使用骑行数据,True,0.6,MiniMax-M3,classify_v1
F0127,5,other,,emotional_complaint,unknown,unknown,S5,no_impact,用户表达对产品的正面情感认可，无具体任务背景,False,0.6,MiniMax-M3,classify_v1
F0128,2,data_accuracy,display_ux;feature_request,real_need,unknown,casual,S2,influence,用户希望断开重连和更改权限后仍能保留已记录的健身数据以避免数据丢失,True,0.6,MiniMax-M3,classify_v1
F0129,4,feature_request,compatibility,feature_request,unknown,casual,S5,no_impact,用户希望手表能直接蓝牙连接Dexcom G7以摆脱随身携带手机的依赖,True,0.6,MiniMax-M3,classify_v1
F0130,2,display_ux,feature_request,real_need,unknown,unknown,S4,unknown,用户希望在举重活动中查看按使用顺序排列的最近练习以便快速选择,True,0.6,MiniMax-M3,classify_v1
F0131,1,price_value,after_sales;feature_request,emotional_complaint,unknown,unknown,S5,influence,用户希望保留免费的核心功能以继续使用Garmin设备而无需支付额外订阅,True,0.6,MiniMax-M3,classify_v1
F0132,2,connectivity,data_accuracy,real_need,unknown,unknown,S3,unknown,用户希望App能与设备稳定同步并提供可信的睡眠数据以用于日常健康追踪,True,0.6,MiniMax-M3,classify_v1
F0133,5,other,,emotional_complaint,unknown,unknown,S5,no_impact,用户希望表达对App长期使用的满意以维持正向口碑,False,0.6,MiniMax-M3,classify_v1
F0134,3,other,,emotional_complaint,unknown,unknown,S5,unknown,用户希望表达对产品的整体感受以达成情感反馈,False,0.6,MiniMax-M3,classify_v1
F0135,2,data_accuracy,,real_need,unknown,unknown,S3,unknown,用户希望心率数据在低强度活动时也能准确反映真实心率以避免错误判断运动状态,True,0.6,MiniMax-M3,classify_v1
F0136,2,feature_request,price_value,feature_request,training,unknown,S4,influence,用户希望在无订阅的情况下也能查看不同心率区间以免费进行训练监控,True,0.6,MiniMax-M3,classify_v1
F0137,2,connectivity,data_accuracy;feature_request,real_need,leisure,unknown,S4,influence,用户希望在无网络环境下仍能离线查看本地存储的活动与睡眠数据以独立使用设备,True,0.6,MiniMax-M3,classify_v1
F0138,2,connectivity,data_accuracy,real_need,unknown,casual,S4,unknown,用户希望手表与App之间步数与连续打卡数据能实时同步以达成准确记录每日活动,True,0.6,MiniMax-M3,classify_v1
F0139,2,connectivity,firmware,real_need,unknown,unknown,S3,unknown,用户希望App更新后手表仍能正常同步以保留活动数据,True,0.6,MiniMax-M3,classify_v1
F0140,2,connectivity,compatibility,real_need,unknown,unknown,S2,blocker,用户希望App能持续识别并连接设备以完成数据同步,True,0.6,MiniMax-M3,classify_v1
F0141,5,other,,unknown,unknown,unknown,S5,unknown,用户希望获得易用、界面良好且控制可靠的骑行App以满足骑行记录需求,False,0.6,MiniMax-M3,classify_v1
F0142,5,other,,unknown,leisure,casual,S5,no_impact,用户希望在骑行时使用可靠的导航应用以达成安全遛狗兼顾运动的目标,False,0.6,MiniMax-M3,classify_v1
F0143,1,other,,emotional_complaint,unknown,unknown,S5,unknown,用户希望软件品质与其付费预期相匹配以获得可靠体验,False,0.55,MiniMax-M3,classify_v1
F0144,2,navigation,display_ux;price_value,real_need,leisure,unknown,S4,influence,用户希望以更少的点击和更直观的流程开始一次新路线导航以降低使用门槛,True,0.6,MiniMax-M3,classify_v1
F0145,2,feature_request,navigation,feature_request,commuting,casual,S5,unknown,用户希望App能显示附近机动车以避开危险车辆并保障骑行安全,True,0.6,MiniMax-M3,classify_v1
F0146,5,feature_request,navigation,feature_request,leisure,enthusiast,S5,no_impact,用户希望付费版能持续提供安全的路线规划与组织骑行活动所需的导航支持以保障出行体验,False,0.6,MiniMax-M3,classify_v1
F0147,2,price_value,other,emotional_complaint,unknown,unknown,S5,unknown,用户希望试用期不产生自动扣费以避免意外支出,False,0.6,MiniMax-M3,classify_v1
F0148,4,navigation,,real_need,unknown,unknown,S5,no_impact,用户希望使用导航功能以在各种骑行情境下找到行进路线,False,0.6,MiniMax-M3,classify_v1
F0149,4,feature_request,compatibility;display_ux,feature_request,unknown,unknown,S5,unknown,用户希望在手机或平板等便携设备上完成行程编辑以达成不依赖Windows设备即可管理路线,True,0.6,MiniMax-M3,classify_v1
F0150,5,feature_request,,unknown,leisure,casual,S5,no_impact,用户希望获得简洁准确的骑行记录与社交平台以摆脱竞技化社交压力,False,0.6,MiniMax-M3,classify_v1
F0151,5,feature_request,navigation;compatibility,unknown,unknown,unknown,S5,no_impact,用户希望继续使用RWGPS作为路线规划与导航工具以完成团队骑行导航,False,0.6,MiniMax-M3,classify_v1
F0152,5,feature_request,,unknown,unknown,enthusiast,S5,no_impact,用户希望使用App以可靠地规划自行车与摩托车行程并与Garmin设备同步,False,0.6,MiniMax-M3,classify_v1
F0153,2,display_ux,feature_request,real_need,commuting,unknown,S4,blocker,用户希望仅在主动启动记录时追踪骑行以避免非必要的手机电量消耗,True,0.6,MiniMax-M3,classify_v1
F0154,5,feature_request,data_accuracy,emotional_complaint,unknown,unknown,S5,unknown,用户希望应用能清晰呈现多种交通方式的活动数据以评估个人运动进展,False,0.6,MiniMax-M3,classify_v1
F0155,4,navigation,feature_request,feature_request,unknown,unknown,S5,influence,用户希望使用一款路线规划功能好用且有趣的App以高效规划骑行路线,False,0.6,MiniMax-M3,classify_v1
F0156,5,feature_request,display_ux;other,emotional_complaint,leisure,unknown,S5,influence,用户希望保持现有界面与路线规划体验以继续记录和规划骑行,False,0.6,MiniMax-M3,classify_v1
F0157,3,navigation,,operation_misunderstanding,leisure,unknown,S5,unknown,用户希望保存路线导航功能顺畅可用以顺利完成骑行,False,0.55,MiniMax-M3,classify_v1
F0158,5,other,,emotional_complaint,unknown,unknown,S5,no_impact,用户希望[unknown]以达成[unknown],False,0.6,MiniMax-M3,classify_v1
F0159,1,price_value,navigation,emotional_complaint,unknown,unknown,S5,no_impact,用户希望免费使用导航功能以验证产品价值后再决定付费,False,0.6,MiniMax-M3,classify_v1
F0160,5,other,navigation,unknown,unknown,unknown,S5,no_impact,用户希望获得可靠好用的骑行路线规划工具以满足规划骑行路线的需求,False,0.6,MiniMax-M3,classify_v1
F0161,3,feature_request,navigation,feature_request,unknown,unknown,S5,unknown,用户希望在分享路线上获得反向骑行选项以按自己方向复用他人路线,True,0.6,MiniMax-M3,classify_v1
